[2021-12-09 12:04:48] Текст ошибки: Метод <b>app\controllers\UserController::logoutAction</b> не найден | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 57 
///////////////////////////
[2021-12-09 12:04:59] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 12:06:28] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 12:14:17] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 12:16:03] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 12:22:49] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 12:40:27] Текст ошибки: syntax error, unexpected '{' | Файл: C:\OpenServer\domains\school.loc\app\controllers\UserController.php, | Строка: 9 
///////////////////////////
[2021-12-09 12:40:33] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 12:44:16] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 13:11:45] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 13:41:27] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 13:46:54] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 15:09:11] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 15:09:14] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 15:09:17] Текст ошибки: Метод <b>app\controllers\UserController::indexAction</b> не найден | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 57 
///////////////////////////
[2021-12-09 15:31:49] Текст ошибки: Метод <b>app\controllers\UserController::rAction</b> не найден | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 57 
///////////////////////////
[2021-12-09 15:39:57] Текст ошибки: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'Java' for key 'login' | Файл: C:\OpenServer\domains\school.loc\vendor\framework\libs\rb.php, | Строка: 838 
///////////////////////////
[2021-12-09 15:46:18] Текст ошибки: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'Java' for key 'login' | Файл: C:\OpenServer\domains\school.loc\vendor\framework\libs\rb.php, | Строка: 838 
///////////////////////////
[2021-12-09 17:02:21] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 17:30:50] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 17:49:02] Текст ошибки: syntax error, unexpected '}' | Файл: C:\OpenServer\domains\school.loc\app\controllers\UserController.php, | Строка: 36 
///////////////////////////
[2021-12-09 17:49:02] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 17:49:03] Текст ошибки: syntax error, unexpected '}' | Файл: C:\OpenServer\domains\school.loc\app\controllers\UserController.php, | Строка: 36 
///////////////////////////
[2021-12-09 17:49:03] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 17:53:58] Текст ошибки: Метод <b>app\controllers\UserController::logoutAction</b> не найден | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 57 
///////////////////////////
[2021-12-09 20:17:42] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 20:45:49] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 21:01:43] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 22:04:25] Текст ошибки: ob_start(): function 'compressPage' not found or invalid function name | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\base\View.php, | Строка: 56 
///////////////////////////
[2021-12-09 22:04:36] Текст ошибки: ob_start(): function 'compressPage' not found or invalid function name | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\base\View.php, | Строка: 56 
///////////////////////////
[2021-12-09 22:04:36] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 22:04:36] Текст ошибки: ob_start(): function 'compressPage' not found or invalid function name | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\base\View.php, | Строка: 56 
///////////////////////////
[2021-12-09 22:04:36] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 22:15:51] Текст ошибки: explode() expects parameter 2 to be string, array given | Файл: C:\OpenServer\domains\school.loc\vendor\framework\libs\Pagination.php, | Строка: 84 
///////////////////////////
[2021-12-09 22:16:13] Текст ошибки: explode() expects parameter 2 to be string, array given | Файл: C:\OpenServer\domains\school.loc\vendor\framework\libs\Pagination.php, | Строка: 84 
///////////////////////////
[2021-12-09 22:16:55] Текст ошибки: Class 'framework\libs\Pagination' not found | Файл: C:\OpenServer\domains\school.loc\app\controllers\MainController.php, | Строка: 24 
///////////////////////////
[2021-12-09 22:16:56] Текст ошибки: Class 'framework\libs\Pagination' not found | Файл: C:\OpenServer\domains\school.loc\app\controllers\MainController.php, | Строка: 24 
///////////////////////////
[2021-12-09 22:25:22] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 22:26:58] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 22:38:57] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 22:40:07] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 22:40:44] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 23:04:49] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 23:11:22] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 23:13:22] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 23:13:34] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-09 23:13:36] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 09:55:37] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 10:25:23] Текст ошибки: Class 'app\controllers\App' not found | Файл: C:\OpenServer\domains\school.loc\app\controllers\AppController.php, | Строка: 13 
///////////////////////////
[2021-12-10 10:25:51] Текст ошибки: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'title' in 'field list' | Файл: C:\OpenServer\domains\school.loc\vendor\framework\libs\rb.php, | Строка: 838 
///////////////////////////
[2021-12-10 10:47:39] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 10:52:26] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 10:55:04] Текст ошибки: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'myschool.languages' doesn't exist | Файл: C:\OpenServer\domains\school.loc\vendor\framework\libs\rb.php, | Строка: 838 
///////////////////////////
[2021-12-10 11:00:09] Текст ошибки: Illegal string offset 'name' | Файл: C:\OpenServer\domains\school.loc\vendor\framework\widgets\language\lang.php, | Строка: 5 
///////////////////////////
[2021-12-10 14:54:24] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 15:23:00] Текст ошибки: Class 'Expection' not found | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\base\View.php, | Строка: 61 
///////////////////////////
[2021-12-10 15:30:12] Текст ошибки: Class 'framework\core\base\Expection' not found | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\base\View.php, | Строка: 61 
///////////////////////////
[2021-12-10 15:30:13] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
[2021-12-10 15:31:00] Текст ошибки: Не найден вид <b>C:\OpenServer\domains\school.loc/app/views/Language/change.php</b> | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\base\View.php, | Строка: 61 
///////////////////////////
[2021-12-10 15:38:50] Текст ошибки: Class 'app\controllers\App' not found | Файл: C:\OpenServer\domains\school.loc\app\controllers\LanguageController.php, | Строка: 9 
///////////////////////////
[2021-12-10 15:38:57] Текст ошибки: Class 'app\controllers\App' not found | Файл: C:\OpenServer\domains\school.loc\app\controllers\LanguageController.php, | Строка: 9 
///////////////////////////
[2021-12-10 19:24:19] Текст ошибки: Страница не найдена | Файл: C:\OpenServer\domains\school.loc\vendor\framework\core\Router.php, | Строка: 63 
///////////////////////////
